CourseName,Credit,Class,CourseID
多媒体技术与虚拟现实,2.0,数学与推理类,20152047098
《孟子》讲析,2.0,人文与社会类,20152049005
电力系统及电气设备概论,2.0,自然与工程类,20152016192
汽车概论,2.0,自然与工程类，彭卫平、雷金,20152018012
创新与创造,2.0,自然与工程类,20152018009
贝多芬经典作品赏析,2.0,艺术与欣赏类,20152032070
C语言程序设计,2.0,数学与推理类,20152047074
JAVA程序设计,2.0,数学与推理类,20152047086
色彩原理及应用,2.0,自然与工程类,20152035047
桥牌艺术与人生,2.0,艺术与欣赏类，教室在四校区,20152049003
大学语文,2.0,人文与社会类，教室在一校区,20152049010
智能问题求解方法,1.0,数学与推理类,20152021158
《四书》导读,1.0,人文与社会类，限全校弘毅班15级学生选,20152033102
鲁迅名篇赏析,1.0,艺术与欣赏类,20152031108
当代世界经济与政治,1.0,中国与全球类,20152034084
食源性寄生虫病,1.0,自然与工程类,20152025103
健康教育学,1.0,人文与社会类,20152034088
京剧历史与审美导引,1.0,艺术与欣赏类，课程组授课,20152032074
办公软件高级应用与实践,1.0,数学与推理类,20152047106
《四书》导读,1.0,人文与社会类,20152033090
现代管理者技能与艺术,1.0,研究与领导类,20152005448
当代国际经济热点问题,1.0,中国与全球类,20152005449
现代标准化与质量管理,1.0,研究与领导类,20152004148
现代能源,1.0,自然与工程类,20152018144
环境与社会,1.0,自然与工程类,20152061041
当代世界经济与政治,1.0,中国与全球类,20152034086
艾滋病防治,1.0,人文与社会类,20152025099
遥感技术应用及发展,1.0,自然与工程类,20152023087
光信息科学与技术,1.0,自然与工程类,20152022003
产业生态学,1.0,人文与社会类,20152014145
关怀理念与实践,1.0,人文与社会类,20152025097
文化人类学,3.0,人文与社会类,20152029004
中国陶瓷艺术,1.0,"中国与全球类，耗材50元陶艺室,12",20152019274
中国陶瓷艺术,1.0,"中国与全球类，耗材50元,城设陶艺室",20152019277
智能问题求解方法,1.0,数学与推理类,20152021159
“量子”世界探秘,2.0,自然与工程类,20152012113
数学模型,2.0,数学与推理类,20152056164
智能问题求解方法,1.0,数学与推理类,20152021157
汽车结构与运用实验,1.0,自然与工程类，上课在2区工程训练中心,20152018014
地下水与人类文明,1.0,自然与工程类,20152016132
人体机理趣谈,1.0,自然与工程类,20152037037
大学生职业规划与就业,1.0,人文与社会类，建议文理学部同学选修,20152080004
战略思维,1.0,研究与领导类,20152041011
性与健康,1.0,自然与工程类,20152025117
地下空间的开发和利用,1.0,"自然与工程类，陈俊涛,",20152016163
大学生创业,1.0,人文与社会类,20152021156
大学生职业规划与就业,1.0,人文与社会类，建议信息学部同学选修,20152080003
大学生生涯规划与指导,1.0,人文与社会类，限大一学生选,20152014138
大学生心理健康,1.0,人文与社会类,20152083003
循环经济的理论与实践,1.0,人文与社会类,20152014144
信息安全概论,1.0,自然与工程类,20152021155
地图历史与文化,1.0,自然与工程类,20152014139
大学生就业指导,1.0,人文与社会类，仅限医学部同学选修,20152080007
英汉口译基础,1.0,交流与写作类,20152002206
营养学,1.0,自然与工程类,20152028002
水利现代化,2.0,"自然与工程类，李小平,",20152016133
《水经注》导读,2.0,无,20152029094
科学是什么-科学与人文,2.0,人文与社会类,20152033084
古希腊文明,2.0,中国与全球类,20152033059
宇宙新概念,2.0,自然与工程类,20152022006
计算机基础与应用,2.0,数学与推理类,20152047065
水利工程经济,2.0,自然与工程类,20152016136
法医学,2.0,自然与工程类,20152025101
20世纪物理学,2.0,自然与工程类,20152011093
生命科学导论（文科）,2.0,自然与工程类,20152013085
哲学核心问题（形而上学）,2.0,数学与推理类,20152033055
计算机基础与应用,2.0,数学与推理类,20152047064
中国文化产业资本运营专题,2.0,人文与社会类,20152003104
《左传》导读,2.0,人文与社会类,20152029092
社交礼仪,2.0,交流与写作类,20152005443
大学音乐,2.0,艺术与欣赏类,20152032081
古典音乐鉴赏,2.0,艺术与欣赏类,20152032066
材料科学,2.0,自然与工程类,20152012112
现代心理学引论,2.0,人文与社会类,20152033058
中国文化概论,2.0,人文与社会类,20152031115
Access数据库程序设计,2.0,数学与推理类,20152047082
JAVA程序设计,2.0,数学与推理类,20152047085
C#语言程序设计,2.0,数学与推理类,20152047102
桥牌艺术与人生,2.0,艺术与欣赏类,20152049002
计算机基础与应用,2.0,数学与推理类,20152047067
建筑材料与人居环境,2.0,自然与工程类,20152016204
创业金融,2.0,人文与社会类,20152005475
商品包装概论,2.0,自然与工程类,20152035048
计算机音乐,2.0,艺术与欣赏类,20152032073
走进遥感世界-遥感技术系列实验,1.0,自然与工程类，全校各专业，限40人,20152023085
中国文学简史,2.0,人文与社会类，教室在三校区,20152049014
中国水利史,2.0,人文与社会类,20152016186
音乐基础,2.0,艺术与欣赏类,20152032077
国际组织专题,2.0,研究与领导类,20152029089
当代国际关系与中国外交,2.0,中国与全球类,20152034082
当代中国政治制度,2.0,中国与全球类,20152034079
朝鲜半岛专题研究,3.0,中国与全球类,20152062002
性传播疾病与青春期保健,1.0,自然与工程类,20152025106
人类生物学,1.0,自然与工程类,20152013087
《四书》导读,1.0,人文与社会类,20152033091
非物质文化遗产与民俗文化,1.0,中国与全球类,20152061042
科学锻炼与保健,1.0,人文与社会类,20152040691
手机应用分析和创意,1.0,自然与工程类,20152047104
现代生活方式与寄生虫感染,1.0,自然与工程类,20152025104
唐宋诗词鉴赏,1.0,艺术与欣赏类,20152031119
创新思维技巧训练,1.0,研究与领导类,20152034087
健康教育学,1.0,人文与社会类,20152034089
中国戏曲艺术与传统文化,2.0,中国与全球类，课程组授课,20152032068
食品安全与人体健康,1.0,自然与工程类，1区,20152027053
西方近现代兵法,1.0,中国与全球类,20152041069
基督教与二十世纪中国文学,1.0,中国与全球类,20152031153
核电站与环境安全,1.0,自然与工程类,20152020095
外交礼仪与谈判,1.0,人文与社会类,20152062003
西北地区水资源与生态环境,1.0,自然与工程类,20152016035
